
     ######################################################################
   ##########################################################################
  ###                                                                      ###
 ###            Tinker-HP  ---  Software Tools for Molecular Design         ###
 ##                                                                          ##
 ##                       Version 1.2(GPU) Octobre 2020                      ##
 ##                                                                          ##
 ##     Copyright (c) Washington University in Saint Louis (WU)              ##
 ##                   The University of Texas at Austin                      ##
 ##                   Sorbonne Universites, UPMC (Sorbonne)                  ##
 ##                              1990-2020                                   ##
 ###                       All Rights Reserved                              ###
  ###                                                                      ###
   ##########################################################################
     ######################################################################

License Number : LICENSENUMBER

Cite this work as :

   Tinker-HP: a Massively Parallel Molecular Dynamics Package for Multiscale
   Simulations of Large Complex Systems with Advanced Polarizable Force Fields.

   Louis Lagardeère, Luc-Henri Jolly, Filippo Lipparini, Felix Aviat,
   Benjamin Stamm, Zhifeng F. Jing, Matthew Harger, Hedieh Torabifard,
   G. Andreès Cisneros, Michael J. Schnieders, Nohad Gresh, Yvon Maday,
   Pengyu Y. Ren, Jay W. Ponder and Jean-Philip Piquemal,

   Chem. Sci., 2018, 9, 956-972,  doi: 10.1039/c7sc04531j

  
 ***** Using the CUFFT engine *****
  

 Particle Mesh Ewald Parameters :

     Type                Ewald Alpha    Grid Dimensions    Spline Order

   Electrostatics           0.3767        60   60   60           5
   Polarization             0.3767        60   60   60           5

 Random Number Generator Initialized with SEED :      326105137
 SAVE-STRESS: The units of the stress tensor components are Atmospheres

 --- Tinker-HP: loading restart file for EtOH_rep02 system --- 

 Molecular Dynamics Trajectory via Velocity Verlet Algorithm
     MD Step     E total   E Potential     E Kinetic       Temp       Pres     Stress(xx)     Stress(yy)     Stress(zz)     Stress(xy)     Stress(yz)     Stress(xz)
        50     4049.9127    -3945.3855     7995.2983     298.06      16.77      -685.4226      -299.3101      1035.0286       180.0948     -1761.8246        16.8965
        51     4045.1237    -3993.5280     8038.6517     299.68    -184.07     -1099.2699      -419.4030       966.4770       189.6424     -1636.8262      -179.8817
        52     4043.6845    -3995.0545     8038.7390     299.68    -243.98     -1130.4705      -351.2534       749.7729       194.9881     -1319.5422       -77.8872
        53     4048.4506    -3933.5647     7982.0153     297.57    -135.51      -689.6910       -63.4637       346.6131       201.9795      -886.5642       210.2209
        54     4052.5119    -3877.7771     7930.2891     295.64       0.57       -93.0693       331.9253      -237.1411       220.7640      -468.0626       507.8417
        55     4051.2397    -3884.9061     7936.1457     295.86      23.94       265.4212       681.4246      -875.0152       243.3397      -243.1945       690.9158
        56     4046.5420    -3933.6956     7980.2376     297.50     -56.60       252.1093       955.8945     -1377.7901       226.9969      -322.0107       707.7059
        57     4044.1737    -3952.4603     7996.6340     298.11    -123.90       -26.2095      1194.5884     -1540.0896       199.0047      -594.4994       620.5186
        58     4049.6736    -3910.8433     7960.5170     296.77    -120.32      -400.5834      1298.6310     -1259.0118       264.1080      -805.9016       540.2002
        59     4052.6978    -3877.6812     7930.3790     295.64    -122.10      -743.2760      1100.9310      -723.9655       396.2912      -797.2397       488.5775
        60     4051.5884    -3896.2763     7947.8647     296.29    -185.45      -919.3728       609.9715      -246.9352       473.6886      -594.8556       425.1655
        61     4049.7304    -3949.7460     7999.4764     298.22    -266.56      -848.3896        12.8673        35.8469       496.7387      -272.0910       358.2105
        62     4045.1903    -4001.1160     8046.3063     299.96    -272.28      -544.4621      -453.8555       181.4783       502.1961       145.7919       352.0934
        63     4046.3599    -3992.8195     8039.1793     299.70    -131.41       -39.1989      -645.5273       290.5067       442.2721       587.5351       413.0524
        64     4051.6447    -3946.1967     7997.8414     298.16      81.20       514.7718      -645.1216       373.9349       262.7495       907.1045       418.0263
        65     4052.4882    -3939.6921     7992.1802     297.95     200.52       849.0666      -653.1917       405.6953         9.5580      1004.8737       287.1723
        66     4048.3701    -3989.2482     8037.6183     299.64     168.34       837.7142      -811.6818       478.9851      -184.3122       881.4720       177.5529
        67     4043.8515    -4036.0977     8079.9492     301.22      81.89       593.8401     -1046.7092       698.5367      -223.8668       597.3598       313.9179
        68     4045.7391    -4021.4455     8067.1846     300.74      58.06       287.4874     -1136.0517      1022.7353      -114.8524       239.5201       737.4321
        69     4050.5096    -3976.2845     8026.7941     299.24      87.30       -10.5236     -1021.0005      1293.4322        74.5098      -108.1319      1254.3222
        70     4049.1827    -3966.7279     8015.9107     298.83      94.84      -277.1433      -837.0367      1398.7121       218.0440      -417.0812      1561.1255
        71     4048.0270    -3982.1123     8030.1393     299.36      71.32      -451.2254      -696.4219      1361.6047       232.8749      -698.7432      1486.4154
        72     4048.0860    -4005.3385     8053.4245     300.23      26.83      -466.4949      -654.4324      1201.4085       161.8599      -912.8609      1107.2234
        73     4043.7450    -4028.9096     8072.6545     300.95     -21.89      -264.2605      -694.8845       893.4837        73.9307      -981.0791       636.4810
        74     4044.7638    -4003.7554     8048.5192     300.05     -16.96       168.0062      -724.2190       505.3259        30.7773      -887.4439       261.2970
        75     4048.9888    -3947.3333     7996.3221     298.10      26.34       627.4843      -715.2268       166.7516       108.6687      -707.3680        94.4677
        76     4049.5534    -3920.9432     7970.4966     297.14      34.83       814.0132      -641.2595       -68.2649       312.5070      -568.1178       179.6213
        77     4047.5667    -3936.7416     7984.3082     297.65       4.26       645.5798      -386.3161      -246.4838       539.1841      -587.6480       468.5911
        78     4043.9280    -3962.3961     8006.3240     298.47       7.01       306.2465       119.7511      -404.9579       704.2535      -778.0558       826.3752
        79     4044.2257    -3947.0722     7991.2979     297.91     111.57        52.0040       751.3599      -468.6431       787.0830     -1013.2894      1092.9159
        80     4049.4744    -3897.0947     7946.5690     296.25     272.99       -17.3084      1213.1316      -376.8460       742.6259     -1146.6681      1112.2063
        81     4051.1521    -3881.7843     7932.9364     295.74     346.88        32.1926      1231.1405      -222.6991       525.0589     -1145.3781       782.2471
        82     4049.3534    -3924.5936     7973.9469     297.27     259.09       129.5924       788.8888      -141.2221       264.4401     -1020.7977       157.4992
        83     4046.2842    -3994.1717     8040.4559     299.75      68.92       233.1983       139.7829      -166.2298       209.1397      -732.5674      -459.1126
        84     4042.9536    -4040.0136     8082.9671     301.33     -98.70       315.5286      -363.9985      -247.6207       430.9728      -255.6367      -697.5112
        85     4045.3953    -4023.8254     8069.2207     300.82    -147.29       381.8994      -452.7320      -371.0267       747.1613       328.9157      -475.7248
        86     4049.3744    -3987.9344     8037.3088     299.63    -106.37       350.6345      -112.0327      -557.7064       960.2018       837.8022       -14.4086
        87     4047.1105    -3992.1628     8039.2734     299.70     -57.64       169.3961       395.9041      -738.2289       993.8498      1057.8655       441.2054
        88     4043.8942    -4013.4553     8057.3495     300.38       4.41        -5.9832       760.1374      -740.9259       845.9055       905.4437       778.5320
